,image_link,product_name,link,price,description,domain
502,https://www2.assets-gap.com/webcontent/0016/667/064/cn16667064.jpg,Silk Cotton Graphic Sweater,https://bananarepublic.gap.com//browse/product.do?pid=443657012&cid=77996&pcid=5032,79.5,"High-quality silk blended with soft, breathable cotton makes for a refined sweater with an ultra-soft feel, feminine drape and subtle sheen.",Banana Republic
503,https://www2.assets-gap.com/webcontent/0016/667/104/cn16667104.jpg,Silk Cotton Graphic Sweater,https://bananarepublic.gap.com//browse/product.do?pid=443657022&cid=77996&pcid=5032,79.5,"High-quality silk blended with soft, breathable cotton makes for a refined sweater with an ultra-soft feel, feminine drape and subtle sheen.",Banana Republic
504,https://www3.assets-gap.com/webcontent/0016/667/074/cn16667074.jpg,Silk Cotton Graphic Sweater,https://bananarepublic.gap.com//browse/product.do?pid=443657002&cid=77996&pcid=5032,79.5,"High-quality silk blended with soft, breathable cotton makes for a refined sweater with an ultra-soft feel, feminine drape and subtle sheen.",Banana Republic
505,https://www3.assets-gap.com/webcontent/0016/549/777/cn16549777.jpg,Silk Cotton Stripe Sweater,https://bananarepublic.gap.com//browse/product.do?pid=425273002&cid=77996&pcid=5032,69.5,"A mix of stripes and a solid color back creates a color-blocked effect for this crew-neck sweater. High-quality silk blended with soft, breathable cotton makes for a refined sweater with an ultra-soft feel, feminine drape and subtle sheen.",Banana Republic
506,https://www1.assets-gap.com/webcontent/0016/783/914/cn16783914.jpg,Silk Cotton Crew-Neck Sweater,https://bananarepublic.gap.com//browse/product.do?pid=425260002&cid=77996&pcid=5032,69.5,"High-quality silk blended with soft, breathable cotton makes for a refined sweater with an ultra-soft feel, feminine drape and subtle sheen.",Banana Republic
507,https://www2.assets-gap.com/webcontent/0016/682/381/cn16682381.jpg,Silk Cotton Crew-Neck Sweater,https://bananarepublic.gap.com//browse/product.do?pid=425260012&cid=77996&pcid=5032,69.5,"High-quality silk blended with soft, breathable cotton makes for a refined sweater with an ultra-soft feel, feminine drape and subtle sheen.",Banana Republic
508,https://www4.assets-gap.com/webcontent/0016/682/311/cn16682311.jpg,Silk Cotton Crew-Neck Sweater,https://bananarepublic.gap.com//browse/product.do?pid=425260052&cid=77996&pcid=5032,69.5,"High-quality silk blended with soft, breathable cotton makes for a refined sweater with an ultra-soft feel, feminine drape and subtle sheen.",Banana Republic
509,https://www4.assets-gap.com/webcontent/0016/783/934/cn16783934.jpg,Silk Cotton Crew-Neck Sweater,https://bananarepublic.gap.com//browse/product.do?pid=425260062&cid=77996&pcid=5032,69.5,"High-quality silk blended with soft, breathable cotton makes for a refined sweater with an ultra-soft feel, feminine drape and subtle sheen.",Banana Republic
510,https://www1.assets-gap.com/webcontent/0016/682/318/cn16682318.jpg,Silk Cotton Crew-Neck Sweater,https://bananarepublic.gap.com//browse/product.do?pid=425260102&cid=77996&pcid=5032,69.5,"High-quality silk blended with soft, breathable cotton makes for a refined sweater with an ultra-soft feel, feminine drape and subtle sheen.",Banana Republic
511,https://www3.assets-gap.com/webcontent/0016/582/900/cn16582900.jpg,Cashmere Star Sweater,https://bananarepublic.gap.com//browse/product.do?pid=390073022&cid=77996&pcid=5032,189.0,"Super soft, undeniably luxe, this amazing cashmere sweater is expertly cut for a classic fit and features an intricate, intarsia-knit star pattern.",Banana Republic
512,https://www1.assets-gap.com/webcontent/0016/582/886/cn16582886.jpg,Cashmere Star Sweater,https://bananarepublic.gap.com//browse/product.do?pid=390073032&cid=77996&pcid=5032,189.0,"Super soft, undeniably luxe, this amazing cashmere sweater is expertly cut for a classic fit and features an intricate, intarsia-knit star pattern.",Banana Republic
513,https://www1.assets-gap.com/webcontent/0016/508/006/cn16508006.jpg,Cashmere Twist-Back Sweater,https://bananarepublic.gap.com//browse/product.do?pid=425360002&cid=77996&pcid=5032,229.0,This cozy cashmere sweater has of-the-moment balloon sleeves and a v-back with twist detail.,Banana Republic
514,https://www2.assets-gap.com/webcontent/0016/554/236/cn16554236.jpg,Cashmere Love Sweater,https://bananarepublic.gap.com//browse/product.do?pid=424790012&cid=77996&pcid=5032,188.0,"Spread the love with this cozy cashmere sweater, featuring an intricate intarsia stitch detail at the chest. Made in super soft, undeniably luxe 100% cashmere.",Banana Republic
