link,product_name,price,image_link,brand
http://us.topshop.com/en/tsus/product/clothing-70483/tropical-knot-front-shirt-8560521,Tropical Knot Front Shirt,$48.00,https://images.topshop.com/i/TopShop/TS13L06QBLK_M_1.jpg?$Large$,TopShop
http://us.topshop.com/en/tsus/product/clothing-70483/gingham-pini-jumpsuit-8557255,Gingham Pinafore Jumpsuit,$110.00,https://images.topshop.com/i/TopShop/TS17J02QMON_M_1.jpg?$Large$,TopShop
http://us.topshop.com/en/tsus/product/clothing-70483/zebra-pleated-shirt-dress-8560573,Zebra Pleated Shirt Dress,$100.00,https://images.topshop.com/i/TopShop/TS10T27QMGD_M_1.jpg?$Large$,TopShop
http://us.topshop.com/en/tsus/product/clothing-70483/mesh-mini-ruched-dress-8560569,Mesh Mini Ruched Dress,$40.00,https://images.topshop.com/i/TopShop/TS10A11QBLK_M_1.jpg?$Large$,TopShop
http://us.topshop.com/en/tsus/product/clothing-70483/fishnet-scoop-neck-swimsuit-8529477,Fishnet Scoop Neck Swimsuit,$58.00,https://images.topshop.com/i/TopShop/TS03T32QMUL_M_1.jpg?$Large$,TopShop
http://us.topshop.com/en/tsus/product/clothing-70483/ctjgingham-skirt-8557261,Gingham Skirt,$60.00,https://images.topshop.com/i/TopShop/TS36X11QMON_M_1.jpg?$Large$,TopShop
http://us.topshop.com/en/tsus/product/clothing-70483/white-gem-mini-denim-skirt-8566418,White Gem Mini Denim Skirt,$75.00,https://images.topshop.com/i/TopShop/TS05T38QWHT_M_1.jpg?$Large$,TopShop
http://us.topshop.com/en/tsus/product/clothing-70483/tall-pini-button-jumpsuit-8539582,TALL Pinafore Button Jumpsuit,$95.00,https://images.topshop.com/i/TopShop/TS30T15PKHA_M_1.jpg?$Large$,TopShop
http://us.topshop.com/en/tsus/product/clothing-70483/mid-blue-belt-loop-joni-jeans-8461679,Mid Blue Belt Loop Joni Jeans,$65.00,https://images.topshop.com/i/TopShop/TS02J24QMDT_M_1.jpg?$Large$,TopShop
http://us.topshop.com/en/tsus/product/clothing-70483/hexagon-trim-jumpsuit-8517254,Hexagon Trim Jumpsuit,$125.00,https://images.topshop.com/i/TopShop/TS36J03QBLK_M_1.jpg?$Large$,TopShop
http://us.topshop.com/en/tsus/product/clothing-70483/white-zip-racer-crop-top-8582578,White Zip Racer Crop Top,$20.00,https://images.topshop.com/i/TopShop/TS09J01QWHT_M_1.jpg?$Large$,TopShop
http://us.topshop.com/en/tsus/product/clothing-70483/believe-in-yourself-8461385,Believe In Yourself T-Shirt,$30.00,https://images.topshop.com/i/TopShop/TS04M26QCRM_M_1.jpg?$Large$,TopShop
http://us.topshop.com/en/tsus/product/clothing-70483/crinkle-one-shoulder-body-8490965,Crinkle One Shoulder Bodysuit,$35.00,https://images.topshop.com/i/TopShop/TS04V03QKHA_M_1.jpg?$Large$,TopShop
http://us.topshop.com/en/tsus/product/clothing-70483/tall-natural-column-midi-dress-8569320,TALL Natural Column Midi Dress,$48.00,https://images.topshop.com/i/TopShop/TS30D08QSTN_M_1.jpg?$Large$,TopShop
